연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2014,대정읍,농가수,52.0,703.0,0.0,0.0,110.0,212.0,16.0,2024-05-13 00:00:00
2014,대정읍,면적,39.0,498.0,0.0,0.0,58.0,68.0,4.0,2024-05-13 00:00:00
2014,대정읍,생산량,1202.0,16809.0,0.0,0.0,1968.0,2373.0,143.0,2024-05-13 00:00:00
2014,남원읍,농가수,157.0,3677.0,216.0,403.0,687.0,1289.0,126.0,2024-05-13 00:00:00
2014,남원읍,면적,158.0,3345.0,194.0,138.0,596.0,558.0,33.0,2024-05-13 00:00:00
2014,남원읍,생산량,5291.0,123087.0,6589.0,12269.0,16259.0,22338.0,541.0,2024-05-13 00:00:00
2014,성산읍,농가수,73.0,1068.0,25.0,1.0,140.0,148.0,54.0,2024-05-13 00:00:00
2014,성산읍,면적,39.0,817.0,20.0,0.0,57.0,62.0,5.0,2024-05-13 00:00:00
2014,성산읍,생산량,1187.0,27513.0,914.0,14.0,1935.0,1672.0,129.0,2024-05-13 00:00:00
2014,안덕면,농가수,122.0,1100.0,14.0,7.0,127.0,147.0,21.0,2024-05-13 00:00:00
2014,안덕면,면적,78.0,744.0,11.0,2.0,62.0,52.0,17.0,2024-05-13 00:00:00
2014,안덕면,생산량,2580.0,24267.0,318.0,135.0,2183.0,1515.0,479.0,2024-05-13 00:00:00
2014,표선면,농가수,45.0,936.0,0.0,89.0,79.0,621.0,28.0,2024-05-13 00:00:00
2014,표선면,면적,39.0,952.0,0.0,34.0,52.0,252.0,7.0,2024-05-13 00:00:00
2014,표선면,생산량,1161.0,31018.0,0.0,2867.0,237.0,9995.0,215.0,2024-05-13 00:00:00
2014,송산동,농가수,20.0,309.0,10.0,35.0,10.0,89.0,0.0,2024-05-13 00:00:00
2014,송산동,면적,8.0,161.0,4.0,12.0,4.0,31.0,0.0,2024-05-13 00:00:00
2014,송산동,생산량,182.0,5463.0,116.0,1024.0,41.0,639.0,0.0,2024-05-13 00:00:00
2014,천지동,농가수,9.0,27.0,13.0,0.0,0.0,8.0,0.0,2024-05-13 00:00:00
2014,천지동,면적,3.0,8.0,4.0,0.0,0.0,3.0,0.0,2024-05-13 00:00:00
2014,천지동,생산량,86.0,274.0,111.0,0.0,0.0,55.0,0.0,2024-05-13 00:00:00
